Designator,Mid X,Mid Y,Layer,Rotation
C1,11.92,11.19,Top,180.0
C2, 8.59,10.40,Top,180.0
C3,17.73,13.98,Top,90.0
C4,21.54,13.98,Top,90.0
C5, 5.16,15.64,Top,270.0
C6,33.02,36.83,Top,90.0
C7,25.40,13.97,Top,90.0
C8,31.31,21.46,Top,270.0
C9,29.21,36.83,Top,90.0
C10,10.11, 4.60,Top,270.0
C11,27.94,21.59,Top,270.0
C12,14.61,15.11,Top,90.0
C13,31.69,12.57,Top,90.0
C14,35.43,21.46,Top,270.0
D1,66.74,37.59,Top,0.0
F1,58.77,22.68,Bottom,90.0
H1,45.70, 3.81,Top,0.0
IC1,58.48,39.02,Top,90.0
L1,14.84,29.21,Top,0.0
Q1,68.14,11.30,Top,270.0
R1,66.04,31.75,Top,270.0
R2,52.01,38.04,Top,90.0
R3,52.01,41.08,Top,90.0
R4,66.74,41.66,Top,0.0
R5, 2.49,17.39,Top,90.0
R6, 2.49,13.58,Top,90.0
R7,57.01,21.70,Top,270.0
R8,60.50,21.72,Top,270.0
R9,71.56,38.16,Top,270.0
R10,17.02, 5.88,Top,270.0
R11,13.49, 5.84,Top,270.0
R12,65.47,17.91,Top,180.0
SJ1,15.30, 2.35,Top,180.0
SJ4,71.56,34.35,Top,270.0
SW1,68.58,38.10,Bottom,180.0
TP1,38.73,37.53,Top,0.0
TP2,69.79,16.32,Top,0.0
TP3,37.66,13.14,Top,90.0
TP4,65.91, 5.08,Top,90.0
TP5,59.18, 5.08,Top,90.0
TP6,10.86,40.70,Top,90.0
TP7,30.04, 3.37,Top,180.0
TP8, 7.05,18.61,Top,180.0
TP9,17.59,40.77,Top,0.0
TP10, 6.86,16.07,Top,0.0
U1,10.17,15.25,Top,180.0
X1,46.34,33.88,Bottom,180.0
X2,46.34,28.28,Bottom,180.0
X3,46.34,22.68,Bottom,180.0
X4,46.34,17.08,Bottom,180.0
X5,46.34,11.48,Bottom,180.0
